ingredients,title_directions
"'1 cup butter', '1 1/2 cups white sugar', '4 eggs, separated', '3 cups self-rising flour', '1 cup milk', '1 teaspoon almond extract', '2 cups water', '1 cup white sugar', '1/2 cup brandy', '1 teaspoon vanilla extract'","""Brandy Almond Cake""'Preheat an oven to 300 degrees F (150 degrees C). Grease and flour an 8 inch round baking pan.', 'Beat the butter and 1 1/2 cups of sugar with an electric mixer in a large bowl until light and fluffy. The mixture should be noticeably lighter in color. Add the room-temperature egg yolks one at a time, allowing each egg yolk to blend into the butter mixture before adding the next. Pour in the flour alternately with the milk, mixing until just incorporated. Stir in the almond extract.  Beat egg whites until stiff peaks form in a large glass or metal mixing bowl.  Lift your beater or whisk straight up: the egg whites should form a sharp peak that holds its shape. Fold the egg whites into the batter; mixing just enough to evenly combine. Pour the batter into prepared pan.', 'Bake in the preheated oven until a toothpick inserted into the center comes out clean, about 90 minutes. Cool in the pan for 10 minutes before removing to cool completely on a wire rack. Cut any excess cake so that it is flush with the sides of the pan.', 'Bring the water and 1 cup of sugar to a boil for 8 to 10 minutes. Reduce heat to a simmer, then add brandy and 1 teaspoon vanilla extract. Simmer for 2 to 3 minutes and remove from heat. Allow syrup to cool to room temperature. Prick holes in the cooled cake with a toothpick, then slowly saturate the cake with the brandy syrup.'"
"'3 large carrots, peeled and thinly sliced', '4 eggs', '1 cup cooking oil', '2 cups white sugar', '2 cups all-purpose flour', '1 tablespoon baking powder', '2 tablespoons butter or margarine', '1 cup white sugar', '1 cup instant hot chocolate mix', '3/4 cup milk'","""Brazilian Carrot Cake""'Preheat oven to 350 degrees F (175 degrees C). Lightly grease 9x13 baking dish.', 'Place the carrots, eggs, and oil in a blender or bowl of a food processor. Process until carrots are finely chopped. Pour the carrot mixture into a mixing bowl. Stir in 2 cups sugar until well blended. Stir in the flour and baking powder; mix until well blended. Pour the batter into the prepared baking dish.', 'Bake in preheated oven until top springs back when lightly touched, about 40 minutes.', 'Meanwhile, make the icing by placing the butter, 1 cup sugar, instant hot chocolate drink mix, and milk in a pan. While stirring, heat to almost boiling over medium-high heat until mixture thickens. When the cake is done, remove from the oven and immediately spread the icing evenly over the top.'"
"'2 cups white sugar', '3 eggs', '1/2 cup vegetable oil', '3 carrots, quartered', '2 cups all-purpose flour', '1 tablespoon baking powder', 'Chocolate Sauce:', '1/2 cup white sugar', '1/2 cup cocoa powder', '6 tablespoons milk', '2 tablespoons unsalted butter'","""Brazilian-Style Carrot Cake with Chocolate Sauce""'Preheat oven to 350 degrees F (175 degrees C). Grease a 10-inch cake pan and dust with flour.', 'Combine 2 cups sugar, eggs, vegetable oil, and carrots in a blender; blend until very smooth, about 5 minutes.', 'Pour carrot mixture into a bowl; add flour and baking powder. Mix well to combine. Pour into the prepared cake pan.', 'Bake in the preheated oven until a toothpick inserted into the center comes out clean, about 40 minutes. Cool in the pan for 5 minutes. Invert onto a wire rack to cool.', 'Combine 1/2 cup sugar, cocoa powder, milk, and butter in a small saucepan over low heat. Cook, stirring constantly, until sauce begins to bubble and thicken, 3 to 4 minutes. Remove from heat and quickly spread over cake.'"
"'3 cups all-purpose flour', '1 tablespoon baking powder', '3 egg whites', '2 1/2 cups white sugar', '3 egg yolks', '1 cup orange juice', '1 3/4 cups milk', '1 (14 ounce) can coconut milk', '1 (14 ounce) can sweetened condensed milk', '1 cup flaked coconut'","""Brazilian-Style Moist Coconut Cake""'Preheat oven to 350 degrees F (175 degrees C). Grease and flour a 9x13-inch pan. Sift together flour and baking powder.', 'Beat the egg whites to soft peaks, then continue beating while slowly adding the sugar until stiff peaks have formed. Fold in egg yolks until evenly mixed, then fold in the flour mixture alternately with the orange juice. Pour batter into the prepared pan.', 'Bake cake in preheated oven until the top has turned golden brown, and a toothpick inserted into the center comes out clean, about 40 minutes.', 'When the cake is done, remove from the oven, and use a fork to poke all over the top of the cake, in 1 inch intervals. In a small bowl, stir together the milk, coconut milk, and sweetened condensed milk. Evenly pour the milk mixture over the cake, then sprinkle with coconut flakes. Chill cake in the refrigerator until cold, about 3 hours.'"
"'1 1/2 cups all-purpose flour', '1/2 cup rolled oats', '1 teaspoon baking soda', '1 teaspoon salt', '1 teaspoon ground cinnamon, or to taste', '1/2 cup brown sugar', '2 eggs, beaten', '1 cup bananas, sliced', '1 teaspoon vanilla extract', '1 tablespoon grated orange zest', '1/2 cup melted butter', '1/4 cup flaked coconut', '1/4 cup sliced almonds, or as needed'","""Breakfast Banana Cake""'Preheat an oven to 325 degrees F (165 degrees C). Grease and flour a 9-inch round cake pan. Combine the flour, oats, baking soda, salt, and cinnamon in a mixing bowl; set aside.', 'Beat the brown sugar, eggs, bananas, vanilla extract, orange zest, and butter in a bowl until smooth. Stir the dry mixture into the egg mixture until smooth; fold in the coconut and almonds. Pour into the prepared cake pan.', 'Bake in the preheated oven until a toothpick inserted into the center comes out clean, about 35 minutes. Cool in the pan for 10 minutes before removing to cool completely on a wire rack.'"
"'1 cup white sugar', '2 tablespoons shortening', '1 teaspoon vanilla extract', '2 cups all-purpose flour', '1 teaspoon baking powder', '1 cup milk', '1/4 cup brown sugar', '1 teaspoon ground cinnamon'","""Breakfast Cake""'Preheat oven to 375  degrees F (190 degrees C). Lightly grease a 9x13 inch baking pan.', 'In a large bowl, cream together sugar and shortening. Stir in vanilla. Sift together flour and baking powder. Stir flour into sugar mixture alternately with milk. Mix until smooth. Pour batter into prepared pan and sprinkle with brown sugar and cinnamon.', 'Bake in preheated oven until a toothpick inserted into center of the pan comes out clean, about 35 to 45 minutes.'"
"'1 cup shortening', '2 cups white sugar', '4 eggs', '1 teaspoon vanilla extract', '1 1/3 cups buttermilk', '1 1/3 cups stewed prunes, chopped', '2 1/3 cups all-purpose flour', '1 teaspoon allspice', '1 teaspoon ground nutmeg', '1 teaspoon ground cinnamon', '1 teaspoon salt', '1 teaspoon baking powder', '1 teaspoon baking soda', '1 cup chopped walnuts (optional)'","""Breakfast Prune Spice Cake""'Preheat the oven to 350 degrees F (175 degrees C). Grease and flour a 9 inch tube pan.', 'In a large bowl, mix the shortening and sugar with an electric mixer until smooth. Mix in the eggs one at a time, then stir in the vanilla and prunes. Sift the flour, allspice, nutmeg, cinnamon, salt, baking powder and baking soda into a large bowl or onto a sheet of waxed paper. Stir in the dry ingredients 1/3 at a time, alternating with the buttermilk. Mix in the walnuts if using.  Pour batter into the prepared pan.', 'Bake for 50 minutes in the preheated oven, or until a toothpick inserted in the crown of the cake comes out clean.   Cool on a wire rack for at least 10 minutes before inverting onto a serving plate.'"
"'1 cup raisins', '3 cups boiling water', '1 pound ground pork sausage', '1 1/2 cups white sugar', '1 1/2 cups brown sugar', '2 eggs, lightly beaten', '3 cups all-purpose flour', '1 teaspoon ground ginger', '1 teaspoon baking powder', '1 teaspoon pumpkin pie spice', '1 teaspoon baking soda', '1 cup cold coffee', '1 cup chopped walnuts'","""Breakfast Sausage Cake""'Preheat oven to 350 degrees F (175 degrees C). Place raisins in a bowl and cover with boiling water; set aside for 5 to 10 minutes. Drain well and dry raisins in cloth, set aside.', 'Place sausage in a large, deep skillet. Cook over medium-high heat until lightly brown. Drain, crumble into small pieces and set aside.', 'In a large bowl, combine sausage, white sugar and brown sugar; stir until mixture is well blended.  Add eggs and beat well.', 'In a separate bowl, sift together flour, ginger, baking powder and pumpkin pie spice. Stir baking soda into coffee. Add flour mixture and coffee alternately to meat mixture, beating well after each addition.  Fold raisins and walnuts into cake batter. Turn batter into well-greased and floured Bundt cake pan.', 'Bake in preheated oven for 75 to 90 minutes until done. Cool 15 minutes in pan before turning out onto serving platter.'"
"'2 tablespoons olive oil', '3 large baking potatoes, peeled and diced', '1/2 cup chopped red bell pepper', '2 cloves garlic, chopped', '1/2 cup chopped onion', 'salt and pepper to taste', '10 slices bacon', '4 eggs', '1 teaspoon milk', '1 cup shredded Cheddar cheese'","""Breakfast Upside Down Cake""'Heat olive oil in a large skillet over medium heat. Add potatoes, red bell pepper, garlic and onion, and cook, stirring occasionally until potatoes are tender. Cover the pan with a lid for faster cooking.', 'Preheat the oven to 350 degrees F (175 degrees C). Line the bottom of an 8 or 9 inch cake pan with parchment paper. Set aside.', 'Fry bacon in a skillet over medium heat, or cook in the microwave, until crisp. Drain, crumble and set aside. Sprinkle the cheese in the bottom of the prepared pan. Sprinkle bacon crumbles evenly over the cheese. Scoop the potato mixture into the pan so it is evenly distributed. Whisk together eggs and milk with a fork, and season with a little salt and pepper. Pour evenly over the food in the pan.', 'Bake for 20 minutes in the preheated oven, just until the egg is set. Remove from the oven and run a knife around the outer edge. Flip onto a serving plate, and remove the parchment paper. Serve and enjoy.'"
"'1 1/2 pounds butter', '5 1/4 cups all-purpose flour', '3/8 teaspoon baking soda', '3/4 teaspoon ground mace', '4 1/2 tablespoons lemon juice', '4 1/2 cups white sugar', '1 1/2 tablespoons vanilla extract', '15 eggs', '3/8 teaspoon salt', '1 1/2 teaspoons cream of tartar'","""Bride's Cake""'Preheat oven to 300 degrees F (150 degrees C). Grease and flour three round tube pans, one 10 inch, one 8 inch, and one 5 inch.', 'Sift the flour, baking soda, ground mace, and 2 1/4 cups of the sugar into a large bowl.', 'Using your hands, rub in the butter into the flour mixture.', 'Separate the eggs. Add the lemon juice and the vanilla to the egg yolks and beat well. Add the egg yolk mixture a little at a time to the flour mixture using your hands to combine the ingredients.', 'In a large bowl whip the egg whites with the salt and the cream of tartar until stiff. Gradually beat in the remaining 2 1/4 cups of the sugar till the whites are very stiff and glossy. Fold in the beaten egg whites into the batter in four portions, folding in very gently with your hands until no white lumps are visible. Spoon batter into the prepared pans.', 'Bake at 300 degrees F (150 degrees C) for 2 1/2 hours for the 10 inch pan, 2 1/4 hours for the 8 inch pan, and 1 1/2 hours for the 5 inch pan. Cakes are done when they shrink from the sides of the pans. Remove the 5 inch cake from the oven and let stand in pan for one hour before turning out. When the 8 inch cake is done turn off the oven and let it stand for 1/2 hour more in oven, remove it then 15 minutes later remove the 10 inch cake. Let the 8 and 10 inch cakes stand on cooling rack for 1/2 hour before turning out. Allow cakes to cool overnight before frosting.  If the cake tiers are to be separated by pillars, the holes left by the tube pans may be covered by rounds of cardboard before they are iced.  Use Decorator Frosting and decorate as desired.'"
"'1 1/2 cups all-purpose flour', '1/2 cup white sugar', '2 1/2 teaspoons baking powder', '1 pinch salt', '1/2 cup milk', '1/4 cup vegetable oil', '1 egg', '2 cups blueberries', '1/3 cup all-purpose flour', '1/2 cup white sugar', '3/4 teaspoon ground cinnamon', '1/4 cup margarine'","""Bright Blue Monday Cake""'Preheat oven to 350 degrees F (175 degrees C). Grease and flour a 9 inch square pan.', 'In a large bowl, mix together the flour, sugar, baking powder and salt. Make a well in the center and pour in the milk, oil, and egg. Mix well. Stir in the blueberries. Pour into prepared pan. In a small bowl, combine 1/3 cup flour, 1/2 cup sugar and 3/4 teaspoon cinnamon. Cut in the margarine until crumbly. Sprinkle over cake.', 'Bake in the preheated oven for 30 to 40 minutes, or until a toothpick inserted into the center of the cake comes out clean. Allow to cool.'"
"'1 (3 ounce) package lime flavored Jell-O® mix', '1 (3 ounce) package orange flavored Jell-O® mix', '1 (3 ounce) package strawberry flavored Jell-O®', '3 cups boiling water, divided', '3 cups cold water, divided', '1 cup canned pineapple juice', '1 (.25 ounce) package unflavored gelatin', '2 1/2 cups graham cracker crumbs', '1/2 cup butter, melted', '1/2 cup brown sugar', '2 cups chilled heavy cream', '1/2 cup white sugar', '1 teaspoon vanilla extract'","""Broken Glass Cake""'Place lime, orange, and strawberry gelatin mixes into 3 separate 9x9-inch glass dishes.', 'Pour 1 cup boiling water into each flavor of gelatin mix; stir the gelatin until dissolved.', 'Pour 1 cup cold water into each flavor of gelatin, stir to combine, and refrigerate the 3 flavors of gelatin until set, at least 4 hours.', 'Heat pineapple juice in a saucepan until hot but not simmering. Stir unflavored gelatin into pineapple juice until dissolved. Refrigerate pineapple juice mixture until cool and thickened, about 30 minutes. Stir occasionally.', 'Mix graham cracker crumbs, melted butter, and brown sugar together in a bowl. Set 1 cup of crumb mixture aside for garnish. Press remaining 2 cups crumb mixture into the bottom of a 9x13-inch cake pan to make a crust.', 'Pour cream into a large metal mixing bowl and beat with an electric mixer until the cream is fluffy and forms soft peaks, about 3 minutes. Slowly beat sugar into whipped cream, 1 or 2 tablespoons at a time; beat in vanilla extract.', 'Cut the different flavors of gelatin into cubes. Use a thin spatula to lift the cubes away from the bottom of the dish and loosen them.', 'Very gently fold the thickened pineapple juice and gelatin cubes into the whipped cream mixture until thoroughly combined. Spoon into the graham cracker crust.', 'Sprinkle the cake with reserved graham cracker crumb mixture.', 'Refrigerate until set, at least 3 hours to overnight.'"
"'2 cups all-purpose flour', '1 teaspoon baking soda', '1 teaspoon salt', '1 teaspoon ground cinnamon', '1/2 teaspoon ground nutmeg', '1 1/2 cups white sugar', '3 eggs', '1 cup vegetable oil', '1 teaspoon vanilla extract', '2 cups peeled and diced pears', '1 cup chopped walnuts', 'Brown Butter Icing:', '1/2 cup butter', ""2 cups confectioners' sugar"", '1 teaspoon vanilla extract', '3 tablespoons water'","""Brown Butter Pear Cake""'Preheat oven to 350 degrees F (175 degrees C). Grease and flour a 10-inch tube pan.', 'Mix flour, baking soda, salt, cinnamon, and nutmeg together in large bowl.', 'Beat sugar and eggs with an electric mixer on medium speed in a separate bowl until light and fluffy, about 3 minutes. Beat in oil and 1 teaspoon vanilla extract until well-blended. Mix in flour mixture until batter is smooth. Fold in pears and walnuts. Pour batter into the prepared tube pan.', 'Bake in the preheated oven until a toothpick inserted into the center comes out clean, 50 to 55 minutes. Cool in the pan for 10 minutes before inverting on a wire rack to cool completely, about 30 minutes.', ""Melt butter in a saucepan over medium-low heat, stirring constantly until it is a rich brown color and has a nutty aroma, about 5 minutes. Remove from heat; stir in confectioners' sugar and 1 teaspoon vanilla extract until icing is thick and smooth. Stir in water 1 tablespoon at a time to thin icing to desired consistency. Drizzle icing over cooled cake."""
"'2 cups packed brown sugar', '1 cup butter', '3 tablespoons sour cream', '1 teaspoon baking soda', '3 1/2 cups all-purpose flour', '1 teaspoon baking powder', '1 teaspoon ground nutmeg', '1 teaspoon ground cinnamon', '1 cup raisins', '2 eggs'","""Brown Sugar Cake""'Preheat oven to 350 degrees F (175 degrees C). Grease and flour three 9 inch round cake pans.', 'Cream the brown sugar and the butter. Add the eggs, and mix well.', 'Mix the baking soda and the sour cream, and add this to the creamed mixture.', 'Sift the flour with the baking powder and spices.  Add the flour mixture to the creamed mixture and stir in the raisins.  Pour batter into three 9 inch round greased and floured cake pans.', 'Bake at 350 degrees F (175 degrees C) for 40 minutes or until cakes tests done.'"
"'2 cups light brown sugar', '1 cup white sugar', '1 1/2 cups butter', '5 eggs', '1 teaspoon vanilla extract', '1 cup milk', '3 cups all-purpose flour', '1/2 teaspoon baking powder', '1 cup chopped pecans'","""Brown Sugar Pound Cake I""'Preheat oven to 325 degrees F (165 degrees C). Grease and flour a 10 inch tube pan. Mix together the flour and baking powder; set aside.', 'In a large bowl, cream together the butter, brown sugar and white sugar until light and fluffy. Beat in the eggs one at a time, then stir in the vanilla.  Beat in the flour mixture alternately with the milk, mixing just until incorporated. Sir in the chopped pecans. Pour batter into prepared pan.', 'Bake in the preheated oven for 60 to 75 minutes, or until a toothpick inserted into the center of the cake comes out clean. Let cool in pan for 10 minutes, then turn out onto a wire rack and cool completely.'"
"'1/2 cup butter, softened', '2 cups packed brown sugar', '5 eggs', '2 teaspoons maple flavored extract', '1 cup evaporated milk', '3 cups all-purpose flour', '1/2 teaspoon baking powder', '1/2 teaspoon salt', '1/4 cup butter', '1/2 cup packed brown sugar', ""1 1/2 cups sifted confectioners' sugar"", '2 tablespoons milk', '1/2 teaspoon vanilla extract'","""Brown Sugar Pound Cake II""'Preheat oven to 325 degrees F (165 degrees C). Grease and flour a 10 inch tube pan. Mix together the flour, baking powder and salt. Set aside.', 'In a large bowl, cream together 1/2 cup butter and 2 cups brown sugar until light and fluffy. Beat in the eggs one at a time, then stir in the maple flavoring. Beat in the flour mixture alternately with the evaporated milk, mixing just until incorporated. Pour batter into prepared pan.', 'Bake in the preheated oven for 70 to 80 minutes, or until a toothpick inserted into the center of the cake comes out clean. Let cool in pan for 10 minutes, then turn out onto a wire rack and cool completely. Decorate with Brown Sugar Frosting.', ""To make Brown Sugar Frosting:  In a medium saucepan, combine 1/4 cup butter, 1/2 cup brown sugar, the confectioners' sugar, milk and vanilla. Cook over low heat, beating until sugar is dissolved and mixture is smooth."""
"'1 (19.8 ounce) package brownie mix', '1/2 cup vegetable oil', '1/4 cup water', '2 eggs', '1 quart mint chocolate chip ice cream, or as needed', '1 (14 ounce) can sweetened condensed milk', '1/2 cup semi-sweet chocolate chips', '1 (8 ounce) container frozen whipped topping, thawed (optional)'","""Brownie Ice Cream Cake""'Preheat oven to 350 degrees F (175 degrees C). Grease and flour 2 9-inch cake pans.', 'Combine the brownie mix, vegetable oil, water, and eggs in a mixing bowl; stir well with a spoon until thickened and smooth, about 1 minute. Spread the batter into the prepared cake pans.', 'Bake in the preheated oven until set and browned, about 30 minutes. A toothpick inserted into the center of a pan should come out with moist crumbs. Let cool for 10 minutes in pans before removing to finish cooling on racks.', 'After brownies are cool, remove ice cream from freezer and allow to soften for about 10 minutes. Meanwhile, pour sweetened condensed milk into a saucepan, and mix in the chocolate chips; heat over low heat, stirring constantly, just until chips have melted and the sauce is smooth. Remove from heat and allow to cool to barely warm temperature.', 'Place one of the layers of brownies into the bottom of a 9-inch springform pan. Evenly spread the ice cream in a layer over the brownies; pour and spread half the chocolate sauce over the ice cream. Top with the other brownie layer, and drizzle the remaining sauce over the top. Freeze until ready to eat, at least 1 hour. Serve topped with  whipped topping, if desired.'"
"'5 eggs', '2 1/4 cups white sugar', '1 cup shortening', '2 teaspoons baking soda', '2 1/2 cups cake flour', '1 cup buttermilk', '4 teaspoons unsweetened cocoa powder', '1 teaspoon vanilla extract', '1 pinch salt', '2 cups white sugar', '1 cup heavy whipping cream', '1/2 cup butter'","""Brownstone Front Chocolate Cake""'Preheat oven to 325 degrees F (165 degrees C). Grease and flour three 9 inch round cake pans.', 'Separate the eggs. Set the egg yolks aside and beat the egg whites until stiff peaks form.', ""Cream 2 1/'4 cups sugar, vanilla, and shortening.  Add the egg yolks and beat till smooth."", 'Sift together the cocoa, cake flour, baking soda, and salt.   Then add dry ingredients alternately with buttermilk to creamy mixture.  Lastly, fold in beaten egg whites.', 'Pour into 3 greased and floured cake pans.  Bake 20-25 minutes in 325 degree F (165 degrees C) oven, or until done.', 'To Make Icing:  Cook 2 cups white sugar, 1 cup cream and 1/2 cup butter or margarine over low flame until mixture forms a soft ball in water.  Remove from heat, beat about 5 or 6 strokes to make mixture smooth.  Cool, spread between and on layers while lukewarm.  This hardens when cold.'"
"'4 cups all-purpose flour', '1 (12.5 ounce) can poppyseed filling', ""2 1/2 cups confectioners' sugar"", '2 cups butter, softened', '6 eggs', '3 tablespoons lemon juice', '1 tablespoon baking powder', '2 teaspoons grated lemon peel', ""1 cup confectioners' sugar"", '1 tablespoon milk'","""Bud's Easy Buttercream Pound Cake""'Preheat oven to 350 degrees F (175 degrees C).', ""Beat flour, poppyseed filling, 2 1/2 cups confectioners' sugar, butter, eggs, lemon juice, baking powder, and lemon peel in a large bowl with an electric mixer set on medium speed until the batter is smooth and thoroughly combined, about 2 minutes."", 'Pour the batter into an ungreased 10-inch tube pan.', 'Bake in the preheated oven until the cake is lightly browned and a toothpick inserted into the middle of the cake comes out clean, about 1 hour and 15 minutes.', 'Cool the cake thoroughly.', ""Beat 1 cup confectioners' sugar with 1 tablespoon milk with an electric mixer on medium speed for 2 minutes; drizzle frosting on cooled cake."""
"'1 (18.25 ounce) package strawberry cake mix', '1 (16 ounce) package cream cheese frosting', '1 (21 ounce) can light blueberry pie filling, refrigerated'","""Bundt Cake Fruit Celebration""'Prepare and bake cake mix according to package directions for a 10 inch Bundt pan. Allow to cool completely.', 'Cover cake with cream cheese frosting. Pour pie filling over frosted cake.'"
"'3 apples - peeled, cored and cut into thin wedges', '5 tablespoons white sugar', '2 teaspoons ground cinnamon', '3 cups all-purpose flour', '3 teaspoons baking powder', '2 cups white sugar', '4 eggs', '1 cup vegetable oil', '2 1/2 teaspoons vanilla extract', '2/3 cup fresh orange juice'","""Bundt Dutch Apple Cake""'Preheat oven to 350 degrees F (175 degrees C). Grease and flour a 10 inch Bundt pan.  In a medium bowl, combine the apples, 5 tablespoons sugar and cinnamon.  Set aside.', 'Sift together the flour and baking powder; set aside. In a large bowl, mix together the eggs and sugar.  Stir in the oil, vanilla and orange juice, mixing until blended.  Make a well in the center of the dry ingredients and pour in the orange juice mixture.  Stir just until combined.', 'Layer batter and apple mixture in the prepared pan, beginning and ending with the batter. Bake in the preheated oven for 70 minutes, or until a toothpick inserted into the center of the cake comes out clean. Allow to cool.'"
"'2 tablespoons butter', '1/2 cup brown sugar', '1 cup hot water'","""Burnt Brown Sugar Cake Sauce""'Melt the butter in a saucepan over medium heat. Slowly stir the brown sugar into the butter, allowing it to melt completely. Bring to a boil and cook until the sugar caramelizes and gives off a burnt smell, about 2 minutes. Remove from heat and pour the hot water into the saucepan; mix until combined. You will have a sauce that is very liquid. Pour over pieces of cake and serve immediately. Best for stale white cake.'"
"'1/2 cup white sugar', '1 cup water', '3 cups all-purpose flour', '3 teaspoons baking powder', '1 teaspoon salt', '3/4 cup butter', '1 1/2 cups white sugar', '3 eggs', '1 cup milk', '1 teaspoon vanilla extract', '1/2 cup white sugar', '1 cup water'","""Burnt Sugar Cake I""'Preheat oven to 375 degrees F (190 degrees C). Grease three 9 inch round cake pans.', 'In a small saucepan bring 1 cup of the water to a boil, slowly add 1/2 cup of the sugar and cook to a thick syrup.', 'Sift together the flour with the baking powder and salt.', 'In a large bowl, cream the butter or margarine with 1 1/2 cups of the sugar.  Add the eggs one at a time, beating well after each addition.', 'In another bowl, combine milk and sugar/water mixture.   Add the vanilla and mix well.', 'Add the sifted dry ingredients alternately with the milk mixture to the creamed butter or margarine mixture. Stir until just combined. Pour batter equally into three greased 9 inch round cake pans.', 'Bake for about 30 minutes at 375 degrees F (190 degrees C).  When cool, glaze with burnt sugar syrup.', 'To Make Glaze: In a small saucepan bring 1 cup water to a boil, slowly add 1/2 cup of the sugar and cook to a thick syrup. Pour over top of cooled cake layers.'"
"'1 3/4 cups white sugar', '1/3 cup hot water', '3 cups sifted cake flour', '3 teaspoons baking powder', '1/2 teaspoon salt', '3/4 cup butter', '3 eggs', '1 teaspoon vanilla extract', '2/3 cup milk'","""Burnt Sugar Cake II""'Prepare burnt sugar by placing 1/2 white sugar into a heavy skillet over medium high heat, stirring constantly with a wooden spoon as sugar melts.  When it becomes very dark brown, remove from heat, add hot water very slowly and stir until dissolved. Set aside to cool.', 'Preheat oven to 350 degrees F (175 degrees F). Line two 9 inch round baking pans with parchment paper.', 'Sift the flour, baking powder and salt together three times.', 'Cream the butter or margarine with the remaining 1 1/4 cups white sugar until light and fluffy. Add the eggs 1 at a time, beating thoroughly after each. Stir in the vanilla and  the burnt sugar syrup mixture.', 'Add the dry ingredients and milk alternately to the creamed mixture. Beat until smooth. Pour batter into the prepared pans.', 'Bake at 350 degrees F (175 degrees C) for 25 to 30 minutes.'"
"'1 cup white sugar', '1/2 cup boiling water', '2 cups sifted all-purpose flour', '1 1/2 cups white sugar', '3 teaspoons baking powder', '1 teaspoon salt', '1/2 cup vegetable oil', '7 egg yolks', '1/4 cup water', '1 teaspoon vanilla extract', '1 cup egg whites', '1/2 teaspoon cream of tartar'","""Burnt Sugar Chiffon Cake""'To Make Burnt Sugar Mixture: Melt 1 cup white sugar in a pan till medium brown. Slowly stir in 1/2 cup boiling water.', 'Preheat oven to 325 degrees (165 degrees C).', 'Sift together into mixing bowl the flour, 1 1/2 cups white sugar, baking powder, and salt. Form a well in the dry ingredients and add the vegetable oil, egg yolks, burnt sugar mixture, cold water and vanilla. Beat with wooden spoon until smooth.', 'Beat egg whites and cream of tartar in large bowl until they hold very stiff peaks. Pour egg yolk mixture in a thin stream over egg whites. Fold in gently. Pour batter into an ungreased tube pan.', 'Bake at 325 degrees F (165 degrees C) for 65 to 70 minutes.'"
"'1/2 cup shortening', '1 1/2 cups cane syrup', '2 eggs', '1 teaspoon vanilla extract', '2/3 cup milk', '2 cups all-purpose flour', '1/2 cup unsweetened cocoa', '1 teaspoon baking soda', '1/2 teaspoon salt', '1/2 cup butter', '1/4 cup unsweetened cocoa', '3/8 cup milk', ""4 cups confectioners' sugar"", '1 teaspoon vanilla extract'","""Busy Day Syrup Cake""'Preheat oven to 350 degrees F (175 degrees C). Grease and flour 3 (8 inch) pans. Sift together the flour, 1/2 cup cocoa, baking soda and salt. Set aside.', 'In a large bowl, cream together the shortening and cane syrup until light and fluffy. Beat in the eggs one at a time, then stir in 1 teaspoon vanilla.  Beat in the flour mixture alternately with 2/3 cup milk, mixing just until incorporated. Pour batter into prepared pans.', 'Bake in the preheated oven for 25 to 30 minutes, or until a toothpick inserted into the center of the cake comes out clean. Let cool in pans for 10 minutes, then turn out onto a wire rack and cool completely. Frost between layers, on top and sides with Easy Chocolate Frosting.', ""To make Easy Chocolate Frosting:  In a saucepan, combine 1/2 cup butter, 1/4 cup cocoa and 1/4 cup plus 2 tablespoons milk. Cook over low heat, stirring constantly, until mixture boils. Remove from heat. Gradually beat in confectioners' sugar and continue beating until spreading consistency is achieved. Beat in vanilla."""
"'2 cups all-purpose flour', '1 1/3 cups white sugar', '1 tablespoon baking powder', '1 teaspoon salt', '1 cup milk', '1/2 cup butter flavored shortening', '1 1/2 teaspoons vanilla extract', '3 egg whites, beaten', '1/4 cup butter', ""2 cups confectioners' sugar"", '2 tablespoons evaporated milk', '2 tablespoons hot water', '1 1/2 teaspoons vanilla extract'","""Butter Brickle Cake""'Preheat oven to 350 degrees F (175 degrees C). Grease and flour one 13x9 inch pan.', 'Sift the flour, white sugar, baking powder and salt together. Mix in the shortening, milk and vanilla. Beat until well combined. Add the egg whites and beat for 2 minutes. Pour the batter into the prepared pan.', 'Bake at 350 degrees F (175 degrees C) for 20 to 25 minutes. Let cool then ice.', ""To Make Icing: Melt butter in a saucepan until it begins to brown. Remove from heat and add the confectioners' sugar, evaporated milk or half and half, hot water and  1-1/2 teaspoons vanilla extract. Beat at medium speed  for three minutes. Then pour icing over cake and allow icing to set. Enjoy!"""
"'1 1/2 cups all-purpose flour', '1/2 teaspoon salt', '2 teaspoons baking powder', '1/2 cup butter, room temperature', '1 cup white sugar', '2 eggs, room temperature', '1 teaspoon vanilla extract', '3/4 cup milk, room temperature'","""Butter Cake""'Preheat oven to 350 degrees F (175 degrees C). Lightly grease an 8-inch square baking pan. Line bottom with parchment or wax paper, or dust lightly with flour.', 'Sift together the flour, salt, and baking powder.', ""Beat butter and white sugar until fluffy and light in color. Gradually add eggs, beating well after each addition; stir in vanilla. Add the sifted dry ingredients to the creamed mixture alternately with the milk. Stir until just blended (see Cook's Note for Blueberry Cake variation). Pour batter into prepared pan."", 'Bake at 350 degrees F (175 degrees C) for until cake springs back when lightly touched, about 30 minutes. Let cool in pan for 10 minutes before inverting onto wire rack to cool completely.'"
