index,text
10,Coffee Almond IceCream Cake Dark Chocolate Sauce cup fine chocolate wafer crumb wafers stick cup unsalted butter melt pint coffee ice cream soften slightly cup wellchille heavy cream teaspoon vanilla cup crush amaretti italian almond macaroon available specialty food shop supermarket cup slice almond toast cup heavy cream cup firmly pack dark brown sugar ounce finequality bittersweet chocolate chop ounce unsweetened chocolate chop stick cup unsalted butter soften tablespoon Amaretto taste small heavy saucepan combine cream brown sugar bring mixture boil moderately high heat whisk occasionally boil whisk brown sugar dissolve remove pan heat add chocolate whisk melt Whisk butter Amaretto whisk sauce smooth let sauce cool slightly chocolate sauce week advance keep cover chill Reheat chocolate sauce low heat stir occasionally warm
11,CoffeeChocolate Layer Cake MochaMascarpone Frosting cup cake flour cup natural unsweetened cocoa powder teaspoon bake soda teaspoon salt cup stick unsalted butter room temperature cup pack golden brown sugar large egg teaspoon vanilla extract cup buttermilk teaspoon instant espresso powder dissolve cup hot water cup natural unsweetened cocoa powder tablespoon instant espresso powder cup chill heavy whipping cream divide cup sugar ounce container chill mascarpone cheese Bittersweet chocolate curl optional Sift cup cake flour cocoa bake soda salt medium bowl electric mixer beat butter large bowl smooth Add brown sugar beat blend minute add egg time beat addition Mix vanilla Add flour mixture addition alternately buttermilk addition beat blend addition gradually add hot espressowater mixture beat smooth Divide batter pan smooth top Bake cake tester insert center come clean minute cool cake pan rack minute run small knife side pan loosen cake Invert cake rack lift pan cake remove parchment Place wire rack atop cake invert Cool completely ahead day ahead Wrap cake plastic store room temperature Sift cocoa powder large bowl add espresso powder Bring cup cream boil small saucepan slowly pour cream cocoa mixture whisk cocoa completely dissolve minute Add cup cream sugar stir sugar dissolve Chill cold hour ahead day ahead Cover chill Add mascarpone chill cocoa mixture electric mixer beat low speed blend smooth Increase speed mediumhigh beat mixture thick mediumfirm peak form beater lift minute overbeat mixture curdle pastry brush brush crumb cakes Place cake layer platter Spoon cup frost dollop cake offset spatula spread frost edge second cake layer press adhere spread thin layer frost side cake Chill minute offset spatula spread remain frost side cake swirl decoratively chocolate curl desire ahead day ahead Cover cake dome chill let stand room temperature minute serve italian cream cheese sell supermarket italian market
12,Coffee Coffee Coffee Cake cup allpurpose flour cup chill unsalted butter cube cup pack light brown sugar cup powder sugar teaspoon instant espresso powder teaspoon kosher salt ounce semisweet chocolate coarsely chop tablespoon unsalted butter ounce pecan cup lightly toast coarsely chop cup strong brew coffee tablespoon granulate sugar cup stick unsalted butter room temperature plus pan cups allpurpose flour plus pan tablespoon instant espresso powder teaspoon bake powder teaspoon bake soda teaspoon ground cinnamon teaspoon kosher salt teaspoon ground cardamom cup strong brew coffee room temperature cup sour cream teaspoon vanilla extract cups granulate sugar large egg plus egg yolk room temperature cup powder sugar tablespoon coffee liqueur tablespoon sour cream inch tube pan Melt chocolate butter heatproof bowl set pot simmer water water touch bowl double boiler medium heat Remove heat stir pecans coffee granulate sugar Preheat oven ° F Butter flour tube pan tap excess flour Whisk cup flour espresso powder bake powder bake soda cinnamon salt cardamom medium bowl whisk coffee sour cream vanilla medium bowl Beat granulate sugar cup butter stand mixer fit paddle attachment light fluffy minute Beat egg egg yolk time mix addition add dry ingredient addition alternate coffee mixture addition scrape side bowl addition Scrape onethird batter prepared pan smooth surface Drizzle half chocolate swirl mixture add onethird batter smooth surface Drizzle remain chocolate swirl mixture scrape remain batter smooth surface Sprinkle crumb top Bake cake tester insert center come clean cake spring press � � � minute let cool completely pan wire rack run butter knife perimeter pan loosen cake Gently invert cake large plate return cake crumb rack cake cool prepare glaze Whisk powdered sugar coffee liqueur sour cream medium bowl spoon drizzle glaze cool cake hold spoon inch cake Cake day serve Store wrap plastic ready serve
13,CoffeeWalnut Cake CoffeeMascarpone Cream cup walnut ounce toast chop divided cup sugar divide tablespoon instant espresso powder cup purpose flour teaspoon bake powder teaspoon ground cinnamon teaspoon bake soda teaspoon salt tablespoon stick unsalted butter room temperature large egg large egg yolk teaspoon vanilla extract cup buttermilk teaspoon instant espresso powder tablespoon water cup chill heavy whipping cream cup ounce mascarpone cheese cup powder sugar teaspoon vanilla extract cup ounce walnut toast chop teaspoon ground cinnamon Pinch salt italian cream cheese sell supermarket italian market Bake cake layer tester insert center come clean minute cool pan minute turn rack cool completely stir espresso tablespoon water large bowl coffee dissolve add cream mascarpone sugar vanilla Beat fill thick smooth overbeat filling curdle Place cake layer platter flat spread half fill cake Place second layer flat fill Spread remain fill Mix walnut cinnamon salt Sprinkle cake Cover cake dome Chill hour day
14,Cornmeal Cake Black Cherry Compote Yellow cornmeal vanilla bean split lengthwise cup fresh goat milk milk cup stick unsalted butter teaspoon grate lemon peel teaspoon salt cup yellow cornmeal cup honey tablespoon sugar large egg separate Black Cherry Compote electric mixer beat egg white large bowl foamy Sprinkle remain tablespoon sugar white beat mediumsoft peak form gently fold white cornmeal mixture addition pour batter prepared pan Bake cake crack tester insert center come moist crumb attach minute cool cake pan rack cake fall center turn plate sharp serrate knife cut cake inchthick slice Place slice plate Black Cherry Compote
15,Cornmeal Cake Buttermilk Ice Cream Rhubarb Compote cup purpose flour cup yellow cornmeal teaspoon Homemade Baking Powder teaspoon salt cup stick unsalted butter room temperature tablespoon finely grate orange peel cup sugar large egg room temperature cup sour cream teaspoon vanilla extract tablespoon coarsely crush sugar cube Buttermilk Ice Cream Rhubarb Compote Bake cake tester insert center come clean minute Cool pan rack minute Run knife pan side loosen Turn cake plate invert crush sugar rack Cool completely ahead hour ahead Wrap foil let stand room temperature Cut cake wedge Serve Buttermilk Ice Cream Rhubarb Compote alongside
16,Cornmeal Cake Sweet Rosemary Syrup Blackberries stick cup unsalted butter soften cup sugar cup yellow cornmeal cup allpurpose flour teaspoon bake powder teaspoon salt large egg large egg yolk cup milk Sweet Rosemary Syrup lightly sweeten whip cream halfpint blackberry large bowl electric mixer beat butter sugar light fluffy Add remain cake ingredient beat low speed combine Beat batter high speed pale yellow minute pour batter prepared pan bake middle oven minute tester come crumb adhere Rosemary Syrup cake bake Cool cake pan rack minute Invert cake hand return right rack cake warm gradually brush cup syrup allow syrup soak add Chill remain syrup small pitcher cover Syrupsoaked cake day ahead keep wrap plastic wrap room temperature Serve cake cut wedge whip cream blackberry remain rosemary syrup
17,Cornmeal Pound Cake Rosemary Syrup Poached Pears Candied Rosemary cups water cups sugar cup dry offdry riesle fresh rosemary sprigs vanilla bean split lengthwise teaspoon black peppercorn Forelle pear small pear peel stem leave intact cup purpose flour cup yellow cornmeal cup stick unsalted butter room temperature cup sugar teaspoon salt large egg beat blend medium bowl teaspoon vanilla extract cup sugar cup water inchlong fresh rosemary sprigs Bakers sugar superfine sugar Preheat oven ° F Butter flour xxinch metal loaf pan Whisk flour cornmeal medium bowl blend electric mixer beat butter large bowl light fluffy gradually beat sugar salt Drizzle beat egg tablespoonful beat constantly beat vanilla Add dry ingredient addition beat blend addition transfer batter prepare pan Bake cake brown tester insert center come clean hour minute cool cake pan minute Turn cake rack cool completely ahead day ahead Wrap foil store room temperature Bring cup sugar cup water simmer medium saucepan mediumhigh heat stir sugar dissolve add rosemary sprig Simmer syrup reduce slightly swirl pan occasionally minute tong transfer rosemary sprig rack drain Cover reserve rosemary syrup Pour baker sugar shallow bowl Add drain rosemary sprig sugar time turn coat thickly Place paper towel dry hour ahead day ahead let sprig syrup stand room temperature Cut dark end cake Cut inchthick cake slice cut slice diagonally half arrange half plate drain pear Stand pear plate drizzle dessert reserve rosemary syrup garnish candy rosemary sprig Serve pass remain syrup separately
18,Crab Cake BLT egg yolk cup plus tablespoon mayonnaise divide tablespoon Dijon mustard tablespoon Worcestershire sauce scallion finely slice tablespoon chop fresh parsley tablespoon chop fresh tarragon Zest lemon Dash Tabasco cup breadcrumb Sea salt Freshly grind black pepper lb jumbo lump crabmeat pick cup yellow ground cornmeal tablespoon vegetable oil roll halve tablespoon Sriracha slice crisp cook bacon avocado slice tomato slice Lettuce Pour cornmeal plate shape crab mixture cake dredge cornmeal coat cover refrigerate hour Heat oil large skillet mediumhigh heat Fry cake minute golden brown Stir Sriracha remain cup mayonnaise Spread bun layer bacon avocado tomato lettuce crab cake
19,Cranberry Pumpkin Pie Spice Tea Cake cup unsalted butter stick room temperature cup plus tablespoon sugar large egg yolk large egg cup ground blanched almond tablespoon vanilla extract cup fresh cranberry coarsely chop cup sift unbleached purpose flour teaspoon pumpkin pie spice cup dry cranberry currant powder sugar Mix fresh cranberry remain tablespoon sugar small bowl let stand minute Combine flour spice medium bowl stir fresh dried cranberry butter mixture Add flour mixture stir combine spoon batter ungreased inch tart pan removable Smooth Bake cake golden dry center cake firm minute transfer rack cool completely serve sift powdered sugar cake Remove rim pan transfer cake platter
20,Cranberry Coconut Layer Cake cup cake flour selfrise tablespoon bake powder teaspoon salt cup milk cup water teaspoon vanilla stick cup unsalted butter soften cup sugar large egg vanilla bean ounce bag fresh unthawed frozen cranberry cups cups sugar cup water large egg white cup sugar cup water teaspoon salt ounce bag sweeten shred coconut coat cake cup bowl sift flour baking powder salt glass measure stir milk water vanilla large bowl electric mixer beat butter medium speed minute gradually beat sugar beat mixture light fluffy minute add egg time beat addition mixer low speed add flour milk mixture alternately batch begin end milk mixture beat combine mixture look curdle overbeat Divide batter evenly pan scant cup pan smoothing top tap pan counter allow air bubble escape Bake layer middle low third oven arrange pan overlap slightly golden tester come clean minute run thin knife edge pan invert layer rack carefully remove wax paper cool layer completely cake layer day ahead keep wrap plastic wrap airtight container cool dry place alternatively layer day ahead freeze wrap plastic wrap foil thaw layer refrigerator day proceed knife halve vanilla bean lengthwise Scrape seed quart saucepan stir pod remain filling ingredient bring mixture boil cook bare simmer stir occasionally minute Discard pod transfer fill bowl Cool filling completely filling day ahead chill cover Bring fill room temperature proceed long serrate knife horizontally halve cake layer Arrange cake half cut cake plate spread evenly cup fill Repeat layer manner remain cake half fill end cake half cut quart metal bowl set saucepan simmer water whisk frost ingredient mixture warm sugar dissolve handheld electric mixer high speed beat frost minute thick fluffy depend mixer weather long Remove bowl heat beat frost cool spreadable frost cake coat coconut Cake keep cover day
21,Cranberry Spice Cake Nonstick vegetable oil spray cups allpurpose flour teaspoon ground cinnamon teaspoon kosher salt teaspoon ground cardamom teaspoon bake powder teaspoon bake soda cup ounce fresh frozen thawed cranberry cup sugar cup pack dark brown sugar cup grapeseed oil neutral vegetable oil large egg cup sour cream tablespoon freshly grate orange zest teaspoon freshly grated lemon zest teaspoon vanilla extract cup apple cider cup powder sugar teaspoon freshly grated lemon zest tablespoon strain fresh lemon juice teaspoon kosher salt citruscranberry compote optional special equipment square cake pan Stir sugar brown sugar oil medium bowl blend Add egg time stir blend addition Whisk sour cream orange zest lemon zest vanilla Whisk dry ingredient addition alternate cider addition whisk blend Fold chop cranberry Scrape batter prepared pan smooth Bake rotate pan halfway tester insert center cake come clean hour — hour minute transfer pan wire rack let cake cool pan minute run thin knife inside pan release cake turn cake rack Peel parchment paper flip cake let cool minute Whisk powder sugar lemon zest lemon juice salt small bowl Spread glaze warm cake allow drip side let stand glaze crackly hour serve room temperature ahead day ahead Store airtight room temperature Serve cake CitrusCranberry Compote desire
22,Cranberry Walnut Upside Cake stick cup unsalte butter cup pack light brown sugar cup fresh frozen cranberry ounce thaw frozen cup coarsely chop walnut ounce toast cup allpurpose flour teaspoon bake powder teaspoon bake soda teaspoon salt stick cup unsalted butter soften cup granulate sugar large egg teaspoon vanilla cup wellshaken buttermilk Special equipment wellseasone inch castiron skillet Accompaniment lightly sweeten whip cream oven rack middle position preheat oven ° F Whisk flour baking powder baking soda salt Beat butter sugar large bowl electric mixer high speed light fluffy minute add egg time beat addition Beat vanilla Reduce speed low add flour mixture alternately batch buttermilk beginning end flour mixture mix combine overmix Heat top skillet moderately high heat start bubble gently spoon batter top spread evenly quickly transfer oven bake cake golden brown wooden skewer come clean minute cool cake pan rack minute run thin knife inside edge pan invert serve plate pan invert cake plate Cool completely plate rack hour Serve cake room temperature
23,cream Cheese Pound Cake cup stick unsalted butter room temperature ounce package cream cheese room temperature cup sugar teaspoon salt large egg room temperature teaspoon vanilla extract cup sift purpose flour Place pan cold oven Set temperature ° F bake minute increase temperature ° F bake minute increase ° F bake minute increase ° F bake cake tester insert near center come clean hour long cool cake pan rack minute Turn cake rack cool completely day ahead Wrap store room temperature
24,Cream Cheese Turtle Cake cup slice almond lightly toast cup chop pecan lightly toast ounce box german chocolate cake mix cup water cup vegetable oil large egg cup stick unsalted butter room temperature cup powder sugar ounce package cream cheese cut piece room temperature cup powder sugar tablespoon unsweetene cocoa powder tablespoon milk cup stick unsalted butter cup semisweet chocolate chip teaspoon vanilla extract cup purchase caramelflavored topping dulce de leche topping Melt butter medium saucepan mediumlow heat gradually stir powdered sugar mixture form clump stir cream cheese Whisk smooth minute Pour cream cheese mixture large ribbon atop cake batter pan knife swirl mixture batter overmix Bake cake tester insert center cake come clean minute cake moist Cool cake pan rack Sprinkle remain cup almond cup pecan cake Mix sugar cocoa medium bowl bring milk butter simmer heavy medium saucepan reduce heat mediumlow add powdered sugar mixture whisk melt Add chocolate chip whisk smooth Mix vanilla Drizzle warm ice cake let stand set hour Drizzle caramel top day ahead Cover store room temperature
25,Crispy Noodle Cake Shrimp Snow Peas pound fresh dry thin asian egg noodle capellini tablespoon vegetable oil teaspoon Asian toast sesame oil inchthick slice fresh gingerroot flatten flat heavy knife tablespoon Scotch teaspoon cornstarch pound medium shrimp peel devein rinse squeeze dry gently kitchen towel dry chinese black mushroom dry shiitake mushroom soak cup hot water minute tablespoon cornstarch cup chicken broth tablespoon soy sauce tablespoon Scotch teaspoon sugar teaspoon Asian toast sesame oil tablespoon vegetable oil tablespoon mince scallion tablespoon mince peel fresh gingerroot pound snow pea trim cut diagonally piece available asian market small bowl pinch gingerroot Scotch stir cornstarch shrimp pinch salt let shrimp marinate minute Discard gingerroot Drain mushroom reserve soak liquid discard stem quarter cap let soak liquid settle pour cup bowl discard remain liquid stir cornstarch broth soy sauce Scotch sugar sesame oil Preheat broiler Brush noodle cake lightly tablespoon vegetable oil broil broiler close heat possible minute crisp Invert noodle cake oiled baking sheet brush lightly tablespoon remain vegetable oil broil minute crisp noodle cake warm ° F oven wok heat tablespoon remain vegetable oil high heat begin smoke stirfry shrimp mixture minute shrimp cook transfer shrimp slotted spoon sieve set bowl drain discard oil wok wok heat remain tablespoon vegetable oil high heat hot smoke stirfry scallion mince gingerroot second add mushroom stirfry mixture second stir broth mixture add wok simmer mixture stir minute add shrimp snow pea simmer mixture stir minute shrimp heat Slide noodle cake platter cut serving pour shrimp mixture
26,Crispy Potato Cake Garlic Parsley tablespoon unsalted butter divide plus pan garlic clove thinly slice pound small Yukon Gold potato peel slice thick kosher salt freshly ground pepper tablespoon duck fat unsalted butter cup fresh flatleaf parsley leave special equipment diameter cake pan Heat tablespoon butter large skillet medium heat Add garlic cook stir golden brown minute transfer paper towel – line plate add remain tablespoon butter skillet butter melt add potato season salt pepper cook tossing occasionally begin soften – minute add duck fat continue cook potato toss occasionally tender golden brown spot – minute long transfer potato prepared cake pan press firmly evenly help potato hold turn potato cake Bake potato crisp – minute let cool minute invert potato cake plate season salt pepper parsley reserve garlic AHEAD potato sautéed arrange cake pan hour ahead Cover chill bake – minute long warm
27,Danish Apple Cake kilogram pound Granny Smith apple gram ounce butter sugar taste cup ounce fresh breadcrumb tablespoon sugar cup fluid ounce cream whip red currant jelly jam serve arrange alternate layer apple purée crumb serve dish individual bowl Finish sprinkling crumb decorate whip cream red currant jelly
28,Dark Chocolate Brown Sugar Pound Cake Chocolate Glaze cup cake flour cup unsweetene Dutchprocess cocoa teaspoon salt teaspoon bake soda cup sour cream ounce stick cup plus tablespoon unsalted butter soften cup granulate sugar cup pack dark brown sugar tablespoon chocolate extract optional teaspoon vanilla extract large egg ounce finequality bittersweet chocolate unsweetene tablespoon unsalted butter Accompanimentsbrown sugar sour cream strawberry available mail order small bowl sift flour unsweetened cocoa powder salt small bowl stir bake soda sour cream large bowl electric mixer preferably stand electric mixer beat butter sugar light fluffy minute Beat extract add egg time beat addition mixer low speed add flour mixture sour cream mixture alternately batch beat combine Pour batter bundt pan middle cold oven Set oven ° F bake cake hour minute tester come clean Cool cake pan rack minute turn rack cool completely Pound cake keep wrap plastic wrap room temperature week alternatively pound cake freeze wrap plastic wrap foil month Chop bittersweet chocolate double boiler metal bowl set saucepan barely simmer water melt chocolate butter stirring smooth Transfer glaze pastry bag fit plain tip slightly small inch alternatively transfer glaze small heavyduty sealable plastic bag press excess air snip corner make small hole Pipe glaze forth cake let drip side let glaze set minute room temperature Serve cake dollop sour cream strawberry
