title,ingredients
Coffee Almond Ice-Cream Cake with Dark Chocolate Sauce,"['fine chocolate wafer crumbs ', ' unsalted butter, melted', 'coffee ice cream, softened slightly', 'well-chilled heavy cream', 'vanilla', 'crushed amaretti ', 'sliced almonds, toasted', 'heavy cream', 'firmly packed dark brown sugar', 'fine-quality bittersweet chocolate, chopped', 'unsweetened chocolate, chopped', ' unsalted butter, softened', 'Amaretto, or to taste']"
Coffee-Chocolate Layer Cake with Mocha-Mascarpone Frosting,"['cake flour', 'natural unsweetened cocoa powder', 'baking soda', ' salt', ' unsalted butter, ', ' golden brown sugar', ' eggs', 'vanilla extract', 'buttermilk', 'instant espresso powder dissolved hot water', 'natural unsweetened cocoa powder', 'instant espresso powder', 'chilled heavy whipping cream, ', ' sugar', ' containers chilled mascarpone cheese*', 'Bittersweet chocolate curls ']"
Coffee Coffee Coffee Cake,"['all-purpose flour', 'chilled unsalted butter, cubed', ' light brown sugar', 'powdered sugar', 'instant espresso powder', 'kosher salt', 'semisweet chocolate, coarsely chopped', 'unsalted butter', 'pecans , lightly toasted  coarsely chopped', 'strong brewed coffee', 'granulated sugar', ' unsalted butter, , plus more for pan', 'all-purpose flour, plus more for pan', 'instant espresso powder', 'baking powder', 'baking soda', 'ground cinnamon', 'kosher salt', 'ground cardamom', 'strong brewed coffee, ', 'sour cream', 'vanilla extract', 'granulated sugar', ' eggs yolk, ', 'powdered sugar', 'coffee liqueur', 'sour cream', '-inch tube pan']"
Coffee-Walnut Cake with Coffee-Mascarpone Cream,"['walnuts , toasted, chopped, ', ' sugar, ', 'instant espresso powder', 'all purpose flour', 'baking powder', 'ground cinnamon', 'baking soda', ' salt', ' unsalted butter, ', ' eggs', 'egg yolk', 'vanilla extract', 'buttermilk', 'instant espresso powder', 'water', 'chilled heavy whipping cream', ' mascarpone cheese*', 'powdered sugar', 'vanilla extract', ' walnuts, toasted, chopped', 'ground cinnamon', 'Pinch of salt', '*Italian cream cheese; sold at many supermarkets  at Italian markets.']"
Cornmeal Cake with Black Cherry Compote,"['Yellow cornmeal', 'bean, split lengthwise', fresh goat's milk or whole milk, ' unsalted butter', 'grated lemon peel', ' salt', 'yellow cornmeal', 'honey', ' sugar', ' eggs, ', 'Black Cherry Compote']"
Cornmeal Cake with Buttermilk Ice Cream and Rhubarb Compote,"['all purpose flour', 'yellow cornmeal', 'Homemade Baking Powder', ' salt', ' unsalted butter, ', 'finely grated orange peel', ' sugar', ' eggs, ', 'sour cream', 'vanilla extract', 'coarsely crushed sugar cubes', 'Buttermilk Ice Cream', 'Rhubarb Compote']"
Cornmeal Cake with Sweet Rosemary Syrup and Blackberries,"[' unsalted butter, softened', ' sugar', 'yellow cornmeal', 'all-purpose flour', 'baking powder', ' salt', ' eggs', 'egg yolk', 'milk', 'Sweet Rosemary Syrup', 'lightly sweetened whipped cream', '-pints blackberries']"
"Cornmeal Pound Cake with Rosemary Syrup, Poached Pears, and Candied Rosemary","['water', ' sugar', 'dry or off-dry Riesling', 'rosemary sprigs', 'bean, split lengthwise', 'whole black peppercorns', 'pears or other small pears, peeled, stems left intact', 'all purpose flour', 'yellow cornmeal', ' unsalted butter, ', ' sugar', ' salt', ' eggs, beaten to blend in medium bowl', 'vanilla extract', ' sugar', 'water', ' fresh rosemary sprigs', Baker's sugar or other superfine sugar]"
Crab Cake BLT,"['yolk', 'mayonnaise, ', 'Dijon mustard', 'Worcestershire sauce', ', finely sliced', 'chopped fresh parsley', 'chopped fresh tarragon', 'Zest ', 'Dash of Tabasco', 'breadcrumbs', 'Sea salt', 'Freshly ground black pepper', '. jumbo lump crabmeat, picked over', 'yellow ground cornmeal', 'vegetable oil', ', halved', 'Sriracha', 'crisp cooked bacon', ', sliced', ', sliced', 'Lettuce']"
Cranberry and Pumpkin Pie Spice Tea Cake,"['unsalted butter , ', ' sugar', 'egg yolks', 'egg', 'ground blanched almonds', 'vanilla extract', 'fresh cranberries, coarsely chopped', 'sifted unbleached all purpose flour', 'pumpkin pie spice', 'dried cranberries or currants', 'Powdered sugar']"
Cranberry Coconut Layer Cake,"['cake flour ', 'baking powder', ' salt', 'whole milk', 'water', 'vanilla', ' unsalted butter, softened', ' sugar', ' eggs', 'bean', ' bag fresh or unthawed frozen cranberries ', ' sugar', 'water', 'egg whites', ' sugar', 'water', ' salt', ' bag sweetened shredded coconut for coating cake ']"
Cranberry Spice Cake,"['Nonstick vegetable oil spray', 'all-purpose flour', 'ground cinnamon', 'kosher salt', 'ground cardamom', 'baking powder', 'baking soda', ' fresh  cranberries', ' sugar', ' dark brown sugar', 'grapeseed oil or other neutral vegetable oil', ' eggs', 'sour cream', 'freshly grated orange zest', 'freshly grated lemon zest', 'vanilla extract', 'apple cider', 'powdered sugar', 'freshly grated lemon zest', 'strained fresh lemon juice', 'kosher salt', 'citrus-cranberry compote ; optional)', 'Special equipment: -square cake pan']"
Cranberry Walnut Upside Down Cake,"[' unsalted butter', 'packed light brown sugar', 'fresh or frozen cranberries ', 'coarsely chopped walnuts , toasted', 'all-purpose flour', 'baking powder', 'baking soda', ' salt', ' unsalted butter, softened', 'granulated sugar', ' eggs', 'vanilla', 'well-shaken buttermilk', 'Special equipment: a well--inch cast-iron skillet', 'Accompaniment: lightly sweetened whipped cream']"
Cream Cheese Pound Cake,"[' unsalted butter, ', ' package cream cheese, ', ' sugar', ' salt', ' eggs, ', 'vanilla extract', 'sifted all purpose flour']"
Cream Cheese Turtle Cake,"['sliced almonds, lightly toasted', 'chopped pecans, lightly toasted', '. box German chocolate cake mix', 'water', 'vegetable oil', ' eggs', ' unsalted butter, ', 'powdered sugar', ' package cream cheese, cut into pieces, ', 'powdered sugar', 'unsweetened cocoa powder', 'whole milk', ' unsalted butter', 'semisweet chocolate chips', 'vanilla extract', 'purchased caramel-flavored topping or dulce de leche topping']"
Crispy Noodle Cake with Shrimp and Snow Peas,"['fresh or dried thin Asian egg noodles* or capellini', 'vegetable oil', 'Asian  sesame oil', '-inch-thick slices of fresh gingerroot, flattened with the flat side of a heavy knife', 'Scotch', 'cornstarch', 'medium shrimp , peeled, deveined, rinsed,  squeezed dry gently in a kitchen towel', 'Chinese black mushrooms* or dried shiitake mushrooms*, soaked hot water ', 'cornstarch', 'chicken broth', 'soy sauce', 'Scotch', ' sugar', 'Asian  sesame oil', 'vegetable oil', 'minced scallion', 'minced peeled fresh gingerroot', 'snow peas, each trimmed  cut diagonally ', '*available at some Asian markets']"
Crispy Potato Cake with Garlic and Parsley,"['unsalted butter, , plus more for pan', 'cloves, ', 'small Yukon Gold potatoes, peeled,  thick', 'Kosher salt, freshly ground pepper', 'duck fat or unsalted butter', 'fresh flat-leaf parsley leaves', 'Special equipment: -diameter cake pan']"
Danish Apple Cake,"[' Granny Smith apples', ' butter', 'sugar to taste', ' fresh breadcrumbs', ' sugar', ' cream, whipped', 'red currant jelly ']"
Dark Chocolate Brown Sugar Pound Cake with Chocolate Glaze,"['cake flour', 'unsweetened Dutch-process cocoa', ' salt', 'baking soda', 'sour cream ', ' unsalted butter, softened', 'granulated sugar', 'packed dark brown sugar', 'chocolate extract* ', 'vanilla extract', ' eggs', 'fine-quality bittersweet chocolate ', 'unsalted butter', 'Accompaniments:brown sugar sour cream', 'strawberries', '*available by mail order']"
Dark Chocolate-Caramel Cake with Gold-Dusted Chestnuts,"['high-quality milk chocolate ', 'bittersweet  or semisweet chocolate, finely chopped', ' sugar', 'water', 'stick', 'heavy whipping cream', ' salt', ' unsalted butter, ', 'cake flour', 'baking powder', ' salt', ' unsalted butter, ', ' golden brown sugar, ', ' eggs, ', 'vanilla extract', 'sweetened chestnut spread** with vanilla', 'whole milk', 'bry', 'golden brown sugar', 'peeled whole chestnuts**; chopped, whole ', 'heavy whipping cream', ' sugar', 'water', 'bittersweet or semisweet chocolate, chopped', 'Edible gold dust***']"
Dark Chocolate Pretzel Cake,"[' unsalted butter, chopped', 'dark chocolate, chopped', ', ', 'superfine sugar', 'sea salt', 'mini pretzels']"
Dark Chocolate Walnut Layer Cake,"['unsweetened chocolate, chopped', 'all purpose flour', 'baking soda', ' unsalted butter, ', 'packed golden brown sugar', ' sugar', ' eggs', 'vanilla extract', 'buttermilk', 'chopped walnuts', 'unsweetened chocolate, chopped', ' unsalted butter, ', 'powdered sugar', ' hot milk', 'chopped walnuts']"
Dark Chocolate Wedding Cake with Chocolate Orange Ganache and Orange Buttercream,"['unsweetened cocoa powder ', 'boiling water', 'fine-quality bittersweet chocolate , chopped', ' container sour cream', 'vanilla extract', 'all-purpose flour', 'baking soda', ' salt', ' unsalted butter, softened', 'granulated sugar', 'firmly packed light brown sugar', ' eggs', 'heavy cream', 'fine-quality bittersweet chocolate , chopped', 'unsalted butter, softened', 'freshly grated orange zest', 'Cointreau or other orange-flavored liqueur', '-inch cardboard round*', '-inch cardboard round*', '-inch plastic straws', 'egg yolks', ' sugar', 'fresh orange juice', ' unsalted butter, softened', 'fresh lemon juice', ' sugar', 'water', 'egg whites', 'cream of tartar', ' unsalted butter, cut into pieces  softened to cool ', ' salt', 'freshly grated orange zest', 'Note: A cake-decorating turntable* is extremely helpful for assembling  decorating a wedding cake.', 'Decoration: fraises des bois **  small roses with some leaves attached ', '*available at specialty cookware shops']"
Dark Ginger Rye Cake With Yogurt and Honey,"['Nonstick vegetable oil spray', 'robust-flavored  molasses ', 'stout', 'baking soda', 'rye flour', 'all-purpose flour', 'ground ginger', 'ground cinnamon', 'freshly grated nutmeg', 'freshly ground black pepper', 'baking powder', 'kosher salt', ' eggs', 'granulated sugar', ' dark brown sugar', 'finely grated peeled ginger', 'vanilla extract', 'virgin coconut oil, melted, slightly cooled', 'vegetable oil', 'honey', 'plain whole-milk yogurt', '-inch-diameter springform pan']"
Darkest Chocolate Cake With Red Wine Glaze,"[' unsalted butter, cut into pieces, plus more for pan', 'all-purpose flour, plus more for pan', 'bittersweet chocolate , chopped', ' sugar', ' eggs', 'kosher salt', 'bittersweet chocolate , finely chopped', ' unsalted butter, cut into small pieces', 'kosher salt', 'powdered sugar', 'red wine ', 'Special equipment:  springform pan']"
Dome Cake Filled with Chocolate and Nut Cream,"['cherry liqueur', 'orange liqueur', 'grappa or bry', '. loaf pound cake', 'semisweet chocolate, chopped', 'chilled whipping cream', 'powdered sugar', 'blanched slivered almonds, toasted, coarsely chopped', 'hazelnuts, toasted, husked, coarsely chopped', 'Unsweetened cocoa powder']"
Double Chocolate Raspberry Cake,"['chocolate cake mix', '', 'vegetable oil', 'water', 'semisweet chocolate chips', 'Chocolate Frosting', 'raspberry jam', 'raspberries']"
Double-Ginger Sour Cream and Bundt Cake with Ginger-Infused Strawberries,"['Softened butter ', 'raw sugar*', 'all purpose flour', 'ground ginger', 'baking powder', ' salt', ' unsalted butter, ', ' sugar', ' eggs', 'egg yolk', 'vanilla extract', 'sour cream', 'chopped crystallized ginger', '-inch piece fresh ginger, peeled, very ', 'water', ' sugar', 'fresh lemon juice', 'fresh strawberries, hulled, halved ', 'Sliced fresh mint leaves ']"
Double-Layer Vanilla-Buttermilk Cake With Raspberries and Orange Cream-Cheese Frosting,"['Nonstick vegetable oil spray', 'cake flour, ', 'baking powder, ', 'baking soda, ', 'kosher salt, ', ' unsalted butter, , ', 'granulated sugar, ', ' eggs, ', 'vanilla extract, ', 'buttermilk, ', 'granulated sugar', 'bean, split lengthwise', ' packages cream cheese, chilled', ' unsalted butter, ', 'finely grated orange zest', 'fresh orange juice', 'vanilla extract', 'powdered sugar, sifted', 'raspberries, ', 'Edible flowers ', ' round cake pans']"
Dried Fruit and Nut Cake,"['chopped toasted almonds ', 'diced cied lemon peel ', 'chopped toasted hazelnuts ', 'sifted all purpose flour', 'diced cied citron peel ', 'diced cied orange peel ', 'unsweetened cocoa powder', 'ground cinnamon', 'ground allspice', 'vanilla extract', 'honey', ' sugar', 'powdered sugar']"
Duck Egg Cake with Rosemary,"['Unsalted butter or duck fat, for greasing', ' eggs', ' sugar', 'olive oil', 'duck fat, melted', 'minced fresh rosemary', 'cake flour', 'baking powder', 'Healthy pinch of kosher salt']"
Easy Cranberry & Apple Cake,"['fresh cranberries, rinsed  picked over for stems', 'Smith apple, peeled, cored,  medium-diced', 'light brown sugar, packed', 'grated orange zest ', 'freshly squeezed orange juice', 'ground cinnamon, ', ' eggs, ', 'granulated sugar', ' unsalted butter, melted  slightly cooled', 'pure vanilla extract', 'sour cream', 'all-purpose flour', 'kosher salt']"
Fallen Chocolate Cake Squares à la Mode with Butterscotch Sauce,"['fine-quality bittersweet chocolate , chopped', ' unsalted butter, cut into pieces', ' sugar', ' eggs, ', 'all-purpose flour', 'unsweetened cocoa powder', 'vanilla', ' salt', 'coffee ice cream', 'Butterscotch Sauce', 'whipped cream ']"
"Flourless Apple, Almond, and Ginger Cake","['Smith apples', ' unsalted butter', ' caster  sugar', 'cloves', ' raisins', ' ground almonds', ' whole almonds', 'ground ginger', 'baking powder', '', ' raw  sugar', ' pure maple or golden syrup ', 'gala or golden delicious apples', ' whole almonds, coarsely chopped', ' butter, melted', ' raw  sugar']"
Flourless Cacao Fudge Cake,"[' unsalted butter, chopped', ' raw cacao powder, plus extra for dusting', '', ' brown sugar', ' almond meal ']"
Flourless Chocolate Cake with Coffee Liqueur,"['semisweet chocolate, chopped', ' unsalted butter', 'coffee liqueur', 'vanilla extract', ' eggs, ', ' sugar', 'Powdered sugar']"
Flourless Chocolate Cake with Toasted Hazelnuts and Brandied Cherries,"['-ml bottle bry', 'dried tart cherries', 'water', ' sugar', 'bittersweet or semisweet chocolate, chopped', ' unsalted butter, diced', 'egg yolks', ' sugar', 'vanilla extract', ' salt', 'egg whites', 'bittersweet or semisweet chocolate, chopped', 'heavy whipping cream', 'hazelnuts, toasted, coarsely chopped', 'Whipped cream']"
Flourless Chocolate-Hazelnut Cake,"[' cacao bittersweet chocolate, chopped', ' unsalted butter, cut into chunks', ' eggs', ' golden brown sugar', 'Frangelico or other hazelnut liqueur, ', 'finely ground hazelnuts ', 'coarse kosher salt', 'chilled heavy whipping cream', 'Chopped toasted hazelnuts']"
Flourless Chocolate-Orange Almond Cake,"['Pareve kosher-for-Passover margarine, melted', 'whole almonds ', ' sugar, ', 'bittersweet  or semisweet chocolate, coarsely chopped', 'unsweetened cocoa powder', 'orange juice', 'grated orange peel', ' eggs, ', 'bean, split lengthwise', ' salt', 'Chocolate-Orange Sorbet']"
Flourless Lemon-Almond Cake,"['blanched slivered almonds', ' sugar', ' eggs, ', 'packed grated lemon peel', 'ground cinnamon', 'Pinch of salt']"
Flourless Pistachio Cake with Strawberry Meringue,"['Vegetable oil, for cake pan', 'shelled unsalted pistachios ', ' sugar, ', ' eggs, ', 'vanilla extract', 'kosher salt, plus more for egg whites', 'ground cardamom', 'freeze-dried strawberries ', 'whites, ', 'white vinegar', 'almond flour ', 'superfine sugar', 'potato starch', '-inch springform pan']"
Four-Layer Pumpkin Cake with Orange-Cream Cheese Frosting,"['Nonstick vegetable oil spray', 'all purpose flour', 'baking powder', 'baking soda', 'Chinese five-spice powder*', 'fine sea salt', ' unsalted butter, ', ' golden brown sugar', ' eggs, ', ' can pure pumpkin', 'whole milk', ' unsalted butter, ', ' packages cream cheese, ', 'finely grated orange peel', 'powdered sugar, sifted', 'Chopped walnuts or walnut halves, toasted']"
Free-Form Beesting Cake,"['warm milk ', ' package active dry yeast ', ' sugar', ' salt', 'egg yolk', 'all-purpose flour', ' unsalted butter, cut  softened', ' unsalted butter', ' sugar', 'milk', 'cinnamon', ' salt', 'sliced almonds', 'Accompaniment: honey porter prune ice cream', we used the soft, chocolaty honey porter made by Samuel Adams ; but regional porters on the order of Vermont's Catamount or Oregon's Deschutes Black Butte exhibit the same qualities. Whatever you choose, avoid bitter, hoppy porters such as Sierra Nevada., 'pitted prunes, chopped', 'porter such as Samuel Adams Honey Porter', 'honey', 'cornstarch', 'egg yolks', 'milk', ' sugar', 'vanilla', 'well-chilled heavy cream']"
French Apple Cake,"[' unsalted butter', ' sugar', 'water', 'ground cinnamon', 'Granny Smith apples , peeled, cored, thinly\xa0sliced', 'all purpose flour', 'baking powder', ' salt', 'egg yolks', ' eggs', 'Calvados, applejack or other bry', 'vanilla', ' unsalted butter, melted']"
Fresh Apricot Upside-Down Cake,"[' unsalted butter', 'packed light brown sugar', ' fresh apricots , halved lengthwise  pitted', 'all-purpose flour', 'baking powder', 'baking soda', ' salt', ' unsalted butter, softened', 'granulated sugar', 'vanilla extract', 'almond extract', ' eggs  ', 'well-shaken buttermilk', 'Special equipment: -inchwell-seasoned cast-iron or heavy nonstick skillet ']"
Fresh Banana Layer Cake,"['sifted cake flour ', 'baking soda', 'baking powder', ' salt', 'mashed very ripe banana ', 'plain yogurt or well-shaken buttermilk', 'vanilla', ' unsalted butter, softened', 'granulated sugar', ' eggs', confectioners' sugar , 'cream cheese, softened', ' unsalted butter, softened', 'vanilla', 'firm-ripe bananas']"
Fresh Pineapple Upside-Down Cake,"['all-purpose flour', 'baking powder', 'baking soda', ' salt', 'pineapple, halved lengthwise, cored,  peeled', ' unsalted butter, softened', 'packed light brown sugar', 'granulated sugar', 'pure vanilla extract', ' eggs', 'well-shaken buttermilk']"
Frozen Almond-Raspberry Cake,"['graham cracker crumbs', 'finely chopped almonds', 'vegetable oil', ' sugar', 'Pinch of salt', 'vanilla almond crunch or vanilla frozen yogurt', 'raspberry sorbet', '-pint basket raspberries']"
"Frozen ""Creamsicle"" Cake","['-fat vanilla wafers, finely ground in a food processor', 'finely grated fresh orange zest', 'unsalted butter, melted  cooled', 'light corn syrup', 'orange sorbet, slightly softened', 'nonfat vanilla frozen yogurt', 'Garnish: finely julienned fresh orange zest', '- -inch  loaf pan']"
Frozen Lemon Cream Meringue Cake,"['egg whites ', ' sugar', ' unsalted butter', ' sugar', 'cornstarch', 'fresh lemon juice ', 'freshly grated lemon zest', 'large egg egg yolks', 'plain yogurt', 'unflavored gelatin', 'orange-flavored liqueur', 'heavy cream', 'lemon slices  unsprayed lemon leaves for garnish']"
Frozen Passion Fruit Meringue Cake,"['egg whites  ', ' sugar', ' unsalted butter, cut into pieces', 'cornstarch', 'thawed frozen passion-fruit pulp*', ' sugar', 'large egg', 'egg yolks', 'chilled heavy cream', 'Special equipment: - -inch sheet of parchment paper; a pastry bag with -inch plain tip  -inch plain tip; a long thin platter or a foil-wrapped cardboard rectangle ']"
Frozen Strawberry-Banana Cake with Strawberry Sauce,"[' pound cake', 'strawberry preserves', 'strawberry liqueur or orange juice', 'strawberry sorbet, softened', 'banana-strawberry frozen yogurt, softened', ' package frozen sliced strawberries in syrup, thawed', 'ripe bananas, peeled, cut diagonally -inch-thick slices', 'Sliced fresh strawberries']"
Fruity Rum Bundt Cake,"['chopped dried apricots', 'dried tart cherries', 'golden raisins', 'gold rum, ', 'all-purpose flour, plus more for pan', ' unsalted butter, , plus more for pan', 'baking powder', 'kosher salt', 'ground cloves', 'vegetable oil', ' sour cream', 'raw sugar, plus more for serving', 'bean, split lengthwise', 'egg yolks', 'egg', 'powdered sugar', '-cup Bundt pan']"
Fudgy Chocolate Birthday Cake,"[devil's food cake mix , 'water', 'vegetable oil', ' eggs', 'vanilla extract', 'sour cream', ' packages semisweet chocolate chips ', 'seedless raspberry jam', 'unsalted butter', 'powdered sugar']"
Fudgy Chocolate Layer Cake with Coffee-Chocolate Frosting,"[' sugar', 'cake flour', 'baking soda', ' salt', 'water', 'instant espresso powder', 'unsweetened chocolate, finely chopped', 'vegetable oil', 'sour cream, ', ' eggs, ', 'vanilla extract', 'whipping cream', ' unsalted butter, cut -inch pieces', ' sugar', 'water', 'instant espresso powder', ' salt', 'semisweet chocolate, finely chopped', 'vanilla extract']"
Fudgy Orange-Zucchini Cake with Orange Glaze,"['flour', 'cocoa', 'baking powder', 'baking soda', ' salt', 'cinnamon', 'butter', ' sugar', ', lightly beaten', 'vanilla', 'milk', 'grated zucchini', 'grated orange zest', 'chopped nuts', 'calendula blossoms  petals, tuberous begonia blossoms, or orange mint sprigs, for garnish', sifted confectioner' sugar, 'fresh orange juice', 'vanilla']"
Fuji Apple Spice Cake with Cream Cheese Frosting,"['all purpose flour', 'ground cinnamon', 'baking powder', ' salt', 'ground allspice', 'freshly grated nutmeg or ground nutmeg', 'baking soda', ' unsalted butter, ', ' sugar', ' golden brown sugar', ' eggs', 'vanilla extract', 'bourbon, apple bry, or rum ', 'unsweetened applesauce', 'Fuji or Gala apples , peeled, halved, cored, cut -inch cubes', 'finely chopped pecans ', ' package cream cheese, ', ' unsalted butter, ', 'vanilla extract', 'Pinch of salt', 'powdered sugar ', 'Coarsely chopped toasted pecans ', 'Special equipment: -inch-diameter cake pans -inch-high sides']"
Gallette of Sweet Potato-Crusted Tobago Crab Cake,"['olive oil', 'bell peppers, finely diced', 'bell peppers, finely diced', 'bell peppers, finely diced', ', chopped', 'celery, finely diced', 'pimiento peppers, seeded  finely diced ', 'jumbo lump crabmeat, picked over', 'mayonnaise', 'grainy mustard', ' salt', 'Pinch freshly ground black pepper', 'Wondra quick-dissolving flour or all-purpose flour ', '', 'panko  or fresh breadcrumbs', 'whites', 'yellow sweet potatoes , peeled  coarsely grated', 'canned unsweetened coconut milk', 'callaloo leaves, fresh or frozen  defrosted, roughly chopped ', 'pods okra, fresh or frozen', 'onion, chopped', 'fresh pumpkin, diced', 'scallions, chopped', 'pimiento peppers, seeded  chopped', 'bonnet chile, whole', 'garlic, chopped', 'thyme sprigs', 'olive oil,   portions', ' salt', 'Pinch freshly ground black pepper']"
German Lebkuchen Cake with White Chocolate Frosting,"['oranges', 'honey', 'orange juice', ' unsalted butter, ', 'firmly packed golden brown sugar', 'vanilla extract', 'ground cinnamon', 'ground cloves', 'ground nutmeg', 'ground allspice', ' salt', ' eggs, ', 'all purpose flour', 'baking soda', 'baking powder', 'half  half', 'lemon juice', 'dried currants', 'imported white chocolate , chopped', ' unsalted butter, ', 'cream cheese, ', 'toasted sliced almonds', 'Orange slices or orange peel ribbon']"
Ginger Cake,"['all-purpose flour', 'ground ginger', 'cinnamon', ' unsalted butter, softened', 'packed light brown sugar', 'blackstrap molasses*', 'boiling-hot water', 'baking soda', ' eggs, lightly beaten', 'Accompaniment: lightly sweetened whipped cream']"
Ginger Cake with Crystallized Ginger Frosting,"['all purpose flour', 'ground ginger', 'ground cinnamon', 'baking soda', 'ground cloves', ' salt', ' unsalted butter, ', ' golden brown sugar', ' eggs', 'mild-flavored  molasses', 'stout , flat, ', 'chilled whipping cream', 'powdered sugar', 'minced crystallized ginger', 'Orange slices, quartered', 'Crystallized ginger slices', 'Fresh cranberries']"
Ginger Crunch Cake with Strawberry Sauce,"['pecans, toasted  chopped fine', 'gingersnap cookie crumbs ', 'firmly packed light brown sugar', ' unsalted butter, melted', 'all-purpose flour', 'baking soda', 'ground ginger', 'cinnamon', ' salt', 'unsulfured molasses', 'buttermilk', 'granulated sugar', ' unsalted butter, softened', 'egg, beaten lightly', 'well-chilled heavy cream', 'vanilla extract', 'granulated sugar', 'strawberries', 'fresh lemon juice', 'Garnish: strawberries, with leaves  blossoms  ']"
Ginger-Lime Coconut Cake with Marshmallow Frosting,"[' eggs', 'egg yolks', ' sugar', 'fresh lime juice', 'grated lime peel ', 'grated peeled fresh ginger', 'Pinch of salt', ' unsalted butter, cut into pieces, ', 'sifted cake flour ', 'baking soda', ' salt', ' unsalted butter, ', ' sugar', ' eggs', 'buttermilk, ', 'Bamboo skewers', ' sugar', 'egg whites', 'water', 'light corn syrup', 'cream of tartar', 'vanilla extract', ' package sweetened flaked coconut ']"
