0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
Yellow cornmeal, vanilla bean,split lengthwise,fresh goat 's milk or whole milk,   stick  unsalted butter,lemon peel, salt,yellow cornmeal, honey,sugar,eggs,separated,Black Cherry Compote,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
all purpose flour, yellow cornmeal, Homemade Baking Powder, salt,  stick  unsalted butter,,finely orange peel,sugar,eggs,, sour cream,vanilla extract,coarsely sugar cubes,Buttermilk Ice Cream,Rhubarb Compote,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
stick    unsalted butter,softened,sugar,yellow cornmeal, allpurpose flour,baking powder, salt,eggs,egg yolk, milk,Sweet Rosemary Syrup,lightly sweetened whipped cream,halfpints blackberries,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
water,sugar,dry or offdry Riesling,fresh rosemary sprigs,vanilla bean,split lengthwise, whole black peppercorns,Forelle pears or other pears,,stems left intact,all purpose flour,yellow cornmeal, sticks  unsalted butter,, sugar, salt,eggs,beaten to in medium bowl,vanilla extract,sugar, water, inchlong  fresh rosemary sprigs,Baker 's sugar or other superfine sugar,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 unsalted butter   sticks ,, plus sugar,egg yolks,egg, ground blanched almonds,vanilla extract,fresh cranberries,coarsely, sifted unbleached all purpose flour, pumpkin pie spice, dried cranberries or currants,Powdered sugar,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
cake flour  not selfrising ,baking powder,salt,whole milk, water, vanilla, sticks    unsalted butter,softened,sugar,eggs,vanilla bean,a ounce bag fresh or unthawed frozen cranberries  about  , sugar,water,egg whites,sugar, water, salt,a ounce bag sweetened shredded coconut for coating cake  about  ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Nonstick vegetable oil spray, allpurpose flour, ground cinnamon, kosher salt, ground cardamom,baking powder, baking soda,  fresh  or frozen,thawed  cranberries, sugar,  packed  dark brown sugar, grapeseed oil or other neutral vegetable oil,eggs, sour cream,freshly orange zest,freshly lemon zest,vanilla extract, apple cider,powdered sugar,freshly lemon zest,strained fresh lemon juice, kosher salt,citruscranberry compote  optional ,Special equipment  An '' square cake pan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 stick    unsalted butter, packed light brown sugar, fresh or frozen cranberries   do not thaw if frozen , coarsely walnuts  ,toasted, allpurpose flour, baking powder,baking soda, salt,stick    unsalted butter,softened, granulated sugar,eggs, vanilla, wellshaken buttermilk,Special equipment  a wellseasoned inch castiron skillet,Accompaniment  lightly sweetened whipped cream,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 sticks  unsalted butter,,ounce package cream cheese,,sugar,salt,eggs,,vanilla extract,sifted all purpose flour,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
almonds,lightly toasted,pecans,lightly toasted,ounce box German chocolate cake mix, water, vegetable oil,eggs,  stick  unsalted butter,, powdered sugar,ounce package cream cheese,into pieces,, powdered sugar,unsweetened cocoa powder,whole milk,   stick  unsalted butter, semisweet chocolate chips,vanilla extract, purchased caramelflavored topping or dulce de leche topping,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
kilogram   Granny Smith apples, grams   butter,sugar to taste,  fresh breadcrumbs,sugar,  fluid  cream,whipped,red currant jelly  or jam ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 cake flour, unsweetened Dutchprocess cocoa, salt, baking soda,sour cream   , sticks  plus  unsalted butter,softened, granulated sugar, packed dark brown sugar,chocolate extract   optional ,vanilla extract,eggs,finequality bittersweet chocolate  not unsweetened ,unsalted butter,Accompaniments  brown sugar sour cream,strawberries, available by mail order,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
highquality milk chocolate  such as Lindt or Perugina ,bittersweet  not unsweetened  or semisweet chocolate,finely,sugar,water,cinnamon stick,plus heavy whipping cream, salt,plus   sticks  unsalted butter,,cake flour,baking powder,salt, sticks  unsalted butter,,  packed  golden brown sugar,divided,eggs,separated,vanilla extract,sweetened chestnut spread   with vanilla, whole milk, brandy,golden brown sugar, jarred whole chestnuts     coarsely, left whole  about  ,heavy whipping cream, sugar, water,bittersweet or semisweet chocolate,,Edible gold dust   ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
  stick  unsalted butter,, dark chocolate,,eggs,separated, superfine sugar,sea salt,mini pretzels,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
unsweetened chocolate,,all purpose flour, baking soda,  stick  unsalted butter,, packed golden brown sugar, sugar,eggs,vanilla extract, buttermilk, walnuts,unsweetened chocolate,,  stick  unsalted butter,,powdered sugar, about  hot milk,walnuts,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 unsweetened cocoa powder  not Dutchprocess , boiling water,finequality bittersweet chocolate  not unsweetened ,,one ounce container sour cream,plus vanilla extract,allpurpose flour, baking soda,salt, sticks   plus  unsalted butter,softened, granulated sugar, firmly packed light brown sugar,eggs,heavy cream,finequality bittersweet chocolate  not unsweetened ,,unsalted butter,softened,freshly orange zest,Cointreau or other orangeflavored liqueur,one inch cardboard round ,one inch cardboard round ,three inch plastic straws,egg yolks, sugar, fresh orange juice, stick    unsalted butter,softened, fresh lemon juice, sugar, water,egg whites, cream of tartar, sticks    unsalted butter,into pieces and softened to cool, salt,freshly orange zest,Note  A cakedecorating turntable  is extremely helpful for assembling and decorating a wedding cake ,Decoration  fraises des bois  wild strawberries    and roses with some leaves attached  both fruit and flowers must be nontoxic and pesticidefree , available specialty cookware shops,nan
Nonstick vegetable oil spray,robustflavored  dark  molasses  not blackstrap ,stout, baking soda, rye flour, allpurpose flour,ground ginger,ground cinnamon, freshly nutmeg, freshly ground black pepper, baking powder,kosher salt,eggs,granulated sugar, packed  dark brown sugar,finely ginger,vanilla extract, virgin coconut oil,melted,slightly cooled, vegetable oil, honey,plain wholemilk yogurt,A inchdiameter springform pan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 sticks  unsalted butter,into pieces,plus more for pan, allpurpose flour,plus more for pan,bittersweet chocolate  least   cacao ,,sugar,eggs, kosher salt,bittersweet chocolate  least   cacao ,finely,   stick  unsalted butter,into pieces, kosher salt, powdered sugar, red wine  such as Pinot Noir ,Special equipment  A '' springform pan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
cherry liqueur,orange liqueur,grappa or brandy,ounce loaf cake,semisweet chocolate,,chilled whipping cream, powdered sugar, blanched slivered almonds,toasted,coarsely, hazelnuts,toasted,husked,coarsely,Unsweetened cocoa powder,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
box chocolate cake mix,eggs, vegetable oil, water,semisweet chocolate chips,Chocolate Frosting, raspberry jam,fresh raspberries,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Softened butter  for brushing pan , raw sugar , all purpose flour,ground ginger,baking powder, salt, sticks  unsalted butter,,sugar,eggs,egg yolk,vanilla extract,sour cream,crystallized ginger,inch piece fresh ginger,,very thinly, water, sugar,fresh lemon juice,quarts fresh strawberries,hulled,halved  about ,fresh mint leaves  optional ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Nonstick vegetable oil spray,cake flour,divided,baking powder,divided,baking soda,divided, kosher salt,divided,  sticks  unsalted butter,,divided, granulated sugar,divided,eggs,separated,vanilla extract,divided,buttermilk,divided, granulated sugar,vanilla bean,split lengthwise, ounce  packages cream cheese,chilled,   sticks  unsalted butter,,finely orange zest,fresh orange juice,vanilla extract, powdered sugar,sifted, raspberries,divided,Edible flowers  for  optional , inch  round cake pans,nan,nan,nan,nan,nan,nan
 toasted almonds  about , candied lemon peel  about , toasted hazelnuts  about  , sifted all purpose flour, candied citron peel  about , candied orange peel  about , unsweetened cocoa powder, ground cinnamon, ground allspice, vanilla extract, honey, sugar, powdered sugar,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Unsalted butter or duck fat,for greasing,duck eggs, sugar,olive oil,duck fat,melted,fresh rosemary, cake flour,baking powder,Healthy pinch of kosher salt,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 fresh cranberries,rinsed and picked over for stems,Granny Smith apple,,cored,and mediumdiced, light brown sugar,packed,orange zest  oranges , freshly squeezed orange juice, ground cinnamon,divided,extralarge eggs,,plus granulated sugar,  stick  unsalted butter,melted and slightly cooled,pure vanilla extract, sour cream,allpurpose flour, kosher salt,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
finequality bittersweet chocolate  not unsweetened ,,stick    unsalted butter,into pieces, sugar,eggs,separated,allpurpose flour,unsweetened cocoa powder,vanilla, salt,coffee ice cream,Butterscotch Sauce,whipped cream if desired,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Granny Smith apples, g   unsalted butter, g   ounces  caster  superfine  sugar,whole cloves, g    raisins, g   ounces   ground almonds, g    whole almonds, ground ginger,baking powder,eggs, g   ounces  raw  demerara  sugar, ml   plus  pure maple or golden syrup  light treacle ,royal gala or golden delicious apples, g    whole almonds,coarsely, g    butter,melted, g    raw  demerara  sugar,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
g  about   unsalted butter,,  g  raw cacao powder,plus for dusting,eggs,  g  brown sugar, g  almond meal  ground almonds ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
semisweet chocolate,, sticks  unsalted butter, coffee liqueur,vanilla extract,eggs,,sugar,Powdered sugar,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ml bottle brandy, dried tart cherries,water,sugar, bittersweet or semisweet chocolate,,   sticks  unsalted butter,, egg yolks, plus sugar,vanilla extract, salt,egg whites,bittersweet or semisweet chocolate,,heavy whipping cream, hazelnuts,toasted,coarsely,Whipped cream,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
   cacao bittersweet chocolate,,   sticks  unsalted butter,into chunks,eggs, packed  golden brown sugar, Frangelico or other hazelnut liqueur,divided,finely ground hazelnuts  ground in processor  about ,coarse kosher salt,chilled heavy whipping cream,toasted hazelnuts,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Pareve kosherforPassover margarine,melted, whole almonds  to ,sugar,divided,bittersweet  not unsweetened  or semisweet chocolate,coarsely, unsweetened cocoa powder, orange juice,orange peel,eggs,separated,vanilla bean,split lengthwise, salt,ChocolateOrange Sorbet,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 blanched slivered almonds,sugar,eggs,separated,packed lemon peel, ground cinnamon,Pinch of salt,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Vegetable oil,for cake pan, shelled unsalted pistachios  , sugar,divided,eggs,,vanilla extract, kosher salt,plus more for egg whites, ground cardamom, freezedried strawberries  ounce package ,egg whites,, white vinegar,almond flour  ,superfine sugar,potato starch,inch springform pan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Nonstick vegetable oil spray,all purpose flour,baking powder,baking soda,Chinese fivespice powder , fine sea salt, sticks  unsalted butter,, packed  golden brown sugar,eggs,,ounce can pure pumpkin, whole milk, sticks  unsalted butter,,ounce packages cream cheese,,finely orange peel,powdered sugar,sifted,walnuts or walnut halves,toasted,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 warm milk  F  ,a ounce package active dry yeast   , sugar, salt,egg yolk,about  allpurpose flour,stick    unsalted butter,into pieces and softened, stick    unsalted butter, sugar,milk, cinnamon, salt, almonds,Accompaniment  honey porter prune ice cream,we used the soft,chocolaty honey porter made by Samuel Adams  available nationwide   but regional porters on the order of Vermont 's Catamount or Oregon 's Deschutes Black Butte exhibit the same qualities  Whatever you choose,avoid bitter,hoppy porters such as Sierra Nevada ,pitted prunes,, porter such as Samuel Adams Honey Porter,honey,cornstarch,egg yolks,milk,sugar,vanilla,wellchilled heavy cream,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
   stick  unsalted butter, sugar, water, ground cinnamon,Granny Smith apples  about  ,,cored,thinly,all purpose flour,baking powder, salt,egg yolks,eggs,Calvados,applejack or other brandy,vanilla,  stick  unsalted butter,melted,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
stick    unsalted butter, packed light brown sugar, or    to inch  fresh apricots   lb ,halved lengthwise and pitted, allpurpose flour, baking powder, baking soda, salt,stick    unsalted butter,softened, granulated sugar, vanilla extract, almond extract,eggs for  minutes, wellshaken buttermilk,Special equipment  a inchwellseasoned castiron or heavy nonstick skillet  least inches deep ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 sifted cake flour  not selfrising  sift before measuring , baking soda, baking powder, salt,mashed very ripe banana  about , plain yogurt or wellshaken buttermilk,vanilla,stick    unsalted butter,softened,granulated sugar,eggs,confectioners ' sugar  about  ,cream cheese,softened,stick    unsalted butter,softened,vanilla,to firmripe bananas,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 allpurpose flour, baking powder, baking soda, salt, fresh pineapple,halved lengthwise,cored,and, sticks    unsalted butter,softened, packed light brown sugar, granulated sugar,pure vanilla extract,eggs, wellshaken buttermilk,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
graham cracker crumbs,finely almonds, vegetable oil,sugar,Pinch of salt,vanilla almond crunch or vanilla frozen yogurt,raspberry sorbet,pint basket raspberries,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 lowfat vanilla wafers,finely ground in a food processor,finely fresh orange zest,unsalted butter,melted and cooled,light corn syrup,orange sorbet,slightly softened,nonfat vanilla frozen yogurt, finely julienned fresh orange zest,a  by inch  cup  loaf pan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
egg whites,sugar,stick    unsalted butter, sugar, cornstarch, fresh lemon juice  about lemons ,freshly lemon zest,whole egg plus egg yolks,plain yogurt, unflavored gelatin,orangeflavored liqueur, heavy cream,lemon slices and unsprayed lemon leaves for,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
egg whites for  minutes,sugar,stick    unsalted butter,into pieces, cornstarch, thawed frozen passionfruit pulp , plus sugar,whole egg,egg yolks, chilled heavy cream,Special equipment  a  by inch sheet of parchment paper  a pastry bag with a inch plain tip and an inch plain tip  a long thin platter or a foilwrapped cardboard rectangle  least  by inches ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ounce cake,strawberry preserves, strawberry liqueur or orange juice,strawberry sorbet,softened,bananastrawberry frozen yogurt,softened,ounce package frozen strawberries in syrup,thawed,ripe bananas,,diagonally into inchthick slices,fresh strawberries,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 dried apricots, dried tart cherries, golden raisins, plus gold rum,divided,plus allpurpose flour,plus more for pan, sticks  unsalted butter,,plus more for pan,baking powder, kosher salt, ground cloves,vegetable oil, plus  or more  sour cream,raw sugar,plus more for serving,vanilla bean,split lengthwise,egg yolks,egg,powdered sugar,A cup Bundt pan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
box devil 's food cake mix   ,water, vegetable oil,eggs,vanilla extract,sour cream,ounce packages semisweet chocolate chips  , seedless raspberry jam,unsalted butter,powdered sugar,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
sugar, cake flour, baking soda, salt,water,instant espresso powder,unsweetened chocolate,finely, vegetable oil, sour cream,,eggs,, vanilla extract,whipping cream,  stick  unsalted butter,into inch pieces, sugar, water,instant espresso powder, salt, semisweet chocolate,finely,vanilla extract,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 flour, cocoa, baking powder, baking soda,salt,cinnamon, butter,sugar,eggs,lightly beaten,vanilla, milk,zucchini,orange zest,nuts,calendula blossoms and petals,tuberous begonia blossoms,or orange mint sprigs,for, sifted confectioner ' sugar, fresh orange juice,vanilla,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
all purpose flour, ground cinnamon, baking powder, salt, ground allspice, freshly nutmeg or ground nutmeg, baking soda, sticks  unsalted butter,, sugar,  packed  golden brown sugar,eggs,vanilla extract,bourbon,apple brandy,or rum  optional , unsweetened applesauce,medium Fuji or Gala apples   to  total ,,halved,cored,into inch cubes, finely pecans  about ,ounce package cream cheese,,  stick  unsalted butter,,vanilla extract,Pinch of salt,powdered sugar  measured,then sifted ,Coarsely toasted pecans  for ,Special equipment  inchdiameter cake pans with inchhigh sides,nan,nan,nan,nan,nan,nan,nan,nan,nan
to oranges, honey, orange juice,   sticks  unsalted butter,, firmly packed golden brown sugar,vanilla extract, ground cinnamon, ground cloves, ground nutmeg, ground allspice, salt,eggs,, all purpose flour, baking soda, baking powder, half and half,lemon juice, dried currants, imported white chocolate  such as Lindt ,, sticks  unsalted butter,, cream cheese,,toasted almonds,Orange slices or orange peel ribbon,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
